Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_144.jpg;1.057995;1;0;1.106057;100.2536;86.17813;1.220587;47.04473;-0.001947072
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_211.jpg;0;1;0;1.173909;100.3016;86.22977;1.22886;47.07441;-0.001427197
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_280.jpg;0;1;0;1.215857;100.3686;86.30132;1.228311;47.06614;-0.0005689041
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_347.jpg;0;1;0;1.265152;100.4213;86.35748;1.233422;47.03861;-0.0008158096
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_413.jpg;0;1;0;1.32967;100.4759;86.41569;1.238454;47.01569;-0.0008091662
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_480.jpg;0;1;0;1.376678;100.5517;86.49644;1.242265;46.99214;-0.0009100698
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_547.jpg;0;1;0;1.423756;100.6109;86.55939;1.244752;46.97595;-0.0009342488
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_612.jpg;0;1;0;1.485397;100.6721;86.62444;1.249935;46.95921;-0.0009081509
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_682.jpg;0;1;0;1.532976;100.7566;86.71426;1.254393;46.94598;-0.0009805805
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_746.jpg;0;1;0;1.579567;100.8223;86.784;1.258612;46.93272;-0.0009662512
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_813.jpg;0;1;0;1.640361;100.8899;86.85575;1.263629;46.92353;-0.001009886
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_880.jpg;0;1;0;1.68665;100.983;86.95455;1.270409;46.90665;-0.001010209
G:\RoboND\IMG\robocam_2018_07_23_18_58_51_948.jpg;0;1;0;1.732513;101.0551;87.03093;1.274143;46.89742;-0.001047199
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_013.jpg;0;1;0;1.793626;101.129;87.10931;1.277417;46.88546;-0.001042663
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_081.jpg;0;1;0;1.839142;101.2306;87.21693;1.28535;46.87033;-0.00108147
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_146.jpg;0;1;0;1.88452;101.3089;87.29987;1.286779;46.86093;-0.001097536
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_211.jpg;0;1;0;1.945525;101.3892;87.38483;1.292901;46.84803;-0.001110508
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_276.jpg;0;1;0;1.990557;101.4713;87.47172;1.297343;46.83708;-0.001125375
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_342.jpg;0;1;0;2.035441;101.5837;87.59057;1.302862;46.82212;-0.001160498
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_409.jpg;0;1;0;2.07936;101.6702;87.68195;1.305261;46.81127;-0.00117024
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_478.jpg;0;1;0;2.138708;101.7883;87.80678;1.3086;46.7965;-0.001183692
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_545.jpg;0;1;0;2.183645;101.8791;87.90263;1.311929;46.78661;-0.001222124
G:\RoboND\IMG\robocam_2018_07_23_18_58_52_611.jpg;0;1;0;2.242542;101.9717;88.0004;1.314697;46.77395;-0.001213532
